City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
291,middle island,40.8843,-72.9373,8.94,63,40,2.06,US,1700009620
292,dagda,56.0951,27.5372,1.06,93,100,1.79,LV,1700009621
293,yerbogachen,61.2767,108.0108,-13.51,93,100,4.12,RU,1700009621
294,shizukuishi,39.6833,140.9833,3.43,70,100,0.96,JP,1700009622
295,usinsk,65.9939,57.5281,-3.85,97,100,4.47,RU,1700009623
296,zhigalovo,54.8097,105.1578,-7.76,82,100,4.63,RU,1700009623
297,valparaiso,-33.0393,-71.6273,13.8,67,0,3.6,CL,1700009624
298,nouakchott,18.0858,-15.9785,24.96,28,96,4.68,MR,1700009624
299,marawi,7.9986,124.2928,26.19,69,1,0.56,PH,1700009625
300,mozarlandia,-14.7447,-50.5706,30.47,32,84,1.99,BR,1700009626
301,mount isa,-20.7333,139.5,35.87,30,0,4.12,AU,1700009627
302,lata,40.1629,-8.3327,16.71,96,61,0.89,PT,1700009627
303,salalah,17.0151,54.0924,26.05,78,20,1.03,OM,1700009628
304,havoysund,70.9963,24.6622,1.13,77,100,8.23,NO,1700009629
305,talas,38.6908,35.5538,3.37,100,40,1.03,TR,1700009630
306,monterey,36.2505,-121.2516,17.73,52,100,3.1,US,1700009629
307,fairbanks,64.8378,-147.7164,-3.0,92,100,1.54,US,1700009468
308,lorengau,-2.0226,147.2712,29.28,69,33,2.48,PG,1700009633
309,tateyama,34.9833,139.8667,16.17,76,12,6.27,JP,1700009634
310,camacha,33.0833,-16.3333,18.68,83,40,4.63,PT,1700009634
311,harlingen,26.1906,-97.6961,20.05,84,0,3.6,US,1700009380
312,las margaritas,16.3167,-91.9833,15.68,97,95,2.31,MX,1700009635
313,wasilla,61.5814,-149.4394,-3.42,87,0,2.57,US,1700009636
314,hamilton,39.1834,-84.5333,11.47,49,0,2.06,US,1700009384
315,sanmenxia,34.7747,111.1814,8.62,55,100,2.08,CN,1700009638
316,mitsamiouli,-11.3847,43.2844,27.05,79,66,3.71,KM,1700009639
317,kant,27.8,79.8,16.87,47,4,2.09,IN,1700009639
318,basse,52.5518,9.5069,10.29,93,75,6.17,DE,1700009640
319,havre-saint-pierre,50.2334,-63.5986,-2.0,80,100,3.6,CA,1700009640
320,mbuji-mayi,-6.15,23.6,19.69,96,71,0.76,CD,1700009641
321,kahului,20.8947,-156.47,27.01,61,40,9.77,US,1700009346
322,contamana,-7.3333,-75.0167,24.26,94,100,1.1,PE,1700009643
323,dalvik,65.9702,-18.5286,-2.04,79,29,4.77,IS,1700009645
324,cajaruro,-5.7364,-78.4256,25.49,81,100,1.3,PE,1700009646
325,baruun-urt,46.6806,113.2792,-9.53,86,100,1.24,MN,1700009646
326,trairi,-3.2778,-39.2689,26.77,82,97,4.99,BR,1700009593
327,ordubad,38.9059,46.0234,14.85,65,100,1.0,AZ,1700009648
328,bella union,-30.2752,-57.6007,20.6,97,100,3.48,UY,1700009355
329,bad munstereifel,50.55,6.7667,8.94,86,100,7.39,DE,1700009649
330,terra boa,-23.7681,-52.4442,25.57,63,100,2.67,BR,1700009538
331,tuy hoa,13.0833,109.3,26.25,89,91,3.63,VN,1700009650
332,zyryanka,65.75,150.85,-24.81,89,48,4.68,RU,1700009651
333,ilhabela,-23.7781,-45.3581,24.49,96,84,1.52,BR,1700009651
334,raahe,64.6833,24.4833,-5.58,83,45,3.02,FI,1700009652
335,tymovskoye,50.8456,142.655,-7.49,74,90,1.25,RU,1700009652
336,paramonga,-10.6667,-77.8333,19.46,84,100,4.14,PE,1700009653
337,anadyr,64.75,177.4833,-21.67,83,75,9.0,RU,1700009654
338,sambava,-14.2667,50.1667,23.4,88,34,1.7,MG,1700009654
339,esterhazy,50.65,-102.0843,1.47,75,0,4.76,CA,1700009655
340,lufilufi,-13.8745,-171.5986,33.88,78,97,3.88,WS,1700009656
341,gonzalez,30.5816,-87.2914,14.15,95,100,5.66,US,1700009390
342,timbo,-26.8233,-49.2717,21.99,99,100,0.82,BR,1700009658
343,cockburn town,21.4612,-71.1419,27.79,70,99,8.82,TC,1700009659
344,boksburg,-26.212,28.2596,13.21,89,18,0.89,ZA,1700009660
345,kamenka,51.3223,42.7678,3.32,83,100,4.41,RU,1700009660
346,guerrero negro,27.9769,-114.0611,20.57,57,56,4.21,MX,1700009428
347,gidam,18.9833,81.4,17.48,79,100,1.33,IN,1700009662
348,nemuro,43.3236,145.575,4.24,54,1,4.64,JP,1700009663
349,karratha,-20.7377,116.8463,28.62,32,0,5.55,AU,1700009664
350,saint-paul,-21.0096,55.2707,23.06,94,2,0.45,RE,1700009665
351,naro moru,-0.1676,37.0213,13.12,95,60,1.85,KE,1700009666
352,raudeberg,61.9875,5.1352,4.93,1,100,1.01,NO,1700009667
353,quilmana,-12.95,-76.3833,19.92,83,65,2.0,PE,1700009668
354,nangomba,-10.9,38.5,23.09,90,100,2.65,TZ,1700009669
355,ixtapa,20.7,-105.2,25.04,90,5,0.57,MX,1700009670
356,hibbing,47.4272,-92.9377,6.68,87,0,0.0,US,1700009670
357,chinchani,19.8667,72.7,23.35,56,0,2.26,IN,1700009671
358,saldanha,-33.0117,17.9442,20.03,49,0,3.06,ZA,1700009614
359,vestmanna,62.1564,-7.1664,4.51,81,100,3.09,FO,1700009673
360,hambantota,6.1241,81.1185,24.19,100,40,0.51,LK,1700009673
361,kavieng,-2.5744,150.7967,28.96,69,76,1.9,PG,1700009674
362,lamu,-2.2717,40.902,26.12,83,11,3.68,KE,1700009675
363,chuy,-33.6971,-53.4616,17.08,93,100,3.35,UY,1700009676
364,livingston,55.9029,-3.5226,7.69,99,75,0.0,GB,1700009676
